iter	Passed	Remaining
0	151	151014
1	152	76105
2	153	51117
3	155	38613
4	156	31111
5	157	26113
6	159	22596
7	160	19941
8	161	17833
9	163	16146
10	164	14757
11	165	13610
12	166	12644
13	167	11812
14	168	11093
15	170	10466
16	171	9923
17	173	9448
18	175	9055
19	176	8659
20	178	8307
21	179	7987
22	180	7687
23	182	7405
24	183	7153
25	184	6923
26	186	6706
27	188	6538
28	190	6371
29	191	6190
30	192	6020
31	193	5860
32	195	5716
33	196	5580
34	197	5448
35	199	5329
36	200	5218
37	203	5149
38	204	5048
39	206	4945
40	207	4848
41	208	4762
42	210	4679
43	211	4598
44	213	4521
45	215	4475
46	218	4430
47	220	4364
48	221	4301
49	223	4238
50	224	4180
51	225	4119
52	227	4063
53	229	4012
54	231	3975
55	232	3921
56	233	3870
57	235	3818
58	236	3771
59	237	3724
60	239	3680
61	240	3637
62	241	3595
63	243	3555
64	245	3530
65	246	3492
66	248	3455
67	249	3418
68	250	3382
69	252	3349
70	253	3316
71	254	3281
72	255	3249
73	257	3220
74	259	3196
75	261	3175
76	262	3146
77	263	3117
78	265	3090
79	266	3063
80	267	3036
81	268	3010
82	269	2979
83	270	2954
84	272	2930
85	273	2910
86	275	2895
87	277	2874
88	278	2852
89	280	2834
90	281	2811
91	282	2788
92	283	2766
93	285	2746
94	286	2727
95	288	2717
96	290	2706
97	292	2688
98	293	2668
99	294	2650
100	295	2633
101	297	2615
102	298	2600
103	299	2583
104	301	2567
105	302	2552
106	304	2541
107	305	2527
108	307	2511
109	308	2498
110	310	2483
111	311	2468
112	312	2454
113	314	2441
114	315	2426
115	316	2413
116	318	2402
117	319	2390
118	321	2376
119	322	2364
120	323	2351
121	324	2337
122	326	2325
123	327	2314
124	328	2302
125	330	2291
126	331	2278
127	333	2272
128	335	2262
129	336	2251
130	337	2240
131	339	2230
132	340	2219
133	341	2209
134	343	2199
135	344	2189
136	346	2179
137	348	2175
138	350	2169
139	351	2160
140	353	2150
141	353	2138
142	355	2128
143	356	2120
144	358	2112
145	359	2102
146	360	2094
147	363	2090
148	364	2083
149	366	2075
150	367	2067
151	369	2061
152	370	2052
153	372	2045
154	373	2036
155	374	2028
156	376	2024
157	379	2020
158	380	2012
159	381	2003
160	382	1993
161	383	1985
162	385	1978
163	386	1970
164	387	1963
165	389	1956
166	391	1953
167	394	1951
168	395	1945
169	396	1938
170	398	1931
171	399	1924
172	401	1917
173	402	1911
174	404	1904
175	405	1899
176	407	1897
177	409	1890
178	410	1884
179	412	1877
180	413	1871
181	414	1864
182	416	1858
183	417	1852
184	419	1847
185	421	1843
186	423	1839
187	424	1833
188	425	1827
189	427	1821
190	428	1815
191	430	1810
192	431	1804
193	432	1798
194	434	1793
195	436	1789
196	438	1786
197	439	1781
198	441	1776
199	442	1770
200	443	1764
201	445	1759
202	446	1753
203	448	1749
204	449	1744
205	452	1742
206	453	1739
207	455	1733
208	456	1728
209	458	1724
210	459	1719
211	461	1713
212	462	1709
213	463	1704
214	465	1700
215	467	1698
216	469	1693
217	470	1688
218	471	1683
219	473	1677
220	474	1673
221	476	1668
222	477	1664
223	479	1659
224	481	1657
225	483	1655
226	484	1651
227	486	1646
228	487	1641
229	488	1636
230	490	1632
231	491	1628
232	493	1624
233	494	1619
234	497	1617
235	498	1614
236	500	1610
237	501	1605
238	502	1600
239	504	1596
240	505	1592
241	507	1588
242	508	1584
243	510	1581
244	512	1579
245	513	1574
246	515	1570
247	516	1565
248	517	1561
249	518	1556
250	520	1553
251	521	1549
252	523	1544
253	525	1542
254	527	1540
255	528	1536
256	530	1533
257	531	1529
258	533	1525
259	534	1522
260	536	1518
261	537	1514
262	539	1511
263	541	1510
264	543	1507
265	544	1503
266	546	1499
267	547	1496
268	549	1492
269	550	1488
270	552	1485
271	553	1481
272	555	1478
273	557	1476
274	558	1472
275	560	1468
276	561	1466
277	563	1463
278	564	1459
279	566	1455
280	567	1452
281	568	1448
282	571	1446
283	572	1443
284	574	1440
285	575	1437
286	576	1433
287	578	1429
288	579	1426
289	581	1422
290	582	1419
291	584	1416
292	586	1415
293	587	1411
294	589	1408
295	590	1404
296	592	1401
297	593	1398
298	594	1394
299	596	1391
300	597	1387
301	599	1386
302	601	1384
303	603	1380
304	604	1377
305	606	1374
306	607	1371
307	608	1367
308	610	1364
309	611	1361
310	612	1357
311	615	1356
312	617	1354
313	618	1351
314	619	1347
315	621	1344
316	622	1341
317	623	1338
318	625	1334
319	626	1331
320	628	1328
321	630	1327
322	632	1325
323	633	1322
324	635	1319
325	636	1316
326	637	1313
327	639	1309
328	640	1306
329	642	1303
330	643	1301
331	645	1299
332	647	1297
333	649	1294
334	650	1291
335	652	1289
336	653	1286
337	655	1282
338	656	1279
339	657	1277
340	659	1275
341	661	1273
342	662	1269
343	664	1266
344	665	1263
345	667	1261
346	668	1257
347	669	1254
348	671	1251
349	672	1249
350	674	1247
351	676	1245
352	678	1243
353	679	1240
354	681	1238
355	682	1235
356	684	1232
357	685	1230
358	687	1227
359	689	1225
360	690	1223
361	692	1220
362	693	1217
363	695	1214
364	696	1211
365	697	1208
366	699	1206
367	700	1203
368	702	1200
369	704	1198
370	706	1196
371	707	1194
372	708	1191
373	709	1188
374	711	1185
375	712	1182
376	713	1179
377	715	1176
378	716	1174
379	718	1172
380	720	1171
381	722	1168
382	723	1165
383	725	1163
384	726	1160
385	727	1157
386	729	1155
387	730	1152
388	732	1149
389	734	1148
390	735	1146
391	737	1143
392	739	1141
393	740	1139
394	741	1136
395	743	1133
396	744	1131
397	746	1128
398	747	1126
399	749	1124
400	751	1122
401	752	1120
402	754	1117
403	755	1115
404	757	1112
405	758	1110
406	760	1107
407	761	1105
408	764	1104
409	765	1101
410	767	1099
411	768	1096
412	769	1094
413	771	1091
414	772	1088
415	773	1086
416	775	1083
417	776	1081
418	779	1080
419	780	1078
420	782	1075
421	783	1073
422	784	1070
423	786	1068
424	787	1065
425	788	1063
426	790	1060
427	792	1058
428	794	1057
429	795	1054
430	797	1052
431	798	1049
432	799	1047
433	801	1044
434	802	1042
435	803	1039
436	805	1037
437	807	1035
438	809	1034
439	810	1031
440	812	1029
441	813	1026
442	814	1024
443	816	1022
444	817	1019
445	818	1017
446	820	1014
447	822	1013
448	824	1011
449	825	1009
450	827	1006
451	828	1004
452	829	1002
453	831	999
454	832	997
455	834	995
456	835	992
457	837	990
458	839	989
459	841	987
460	842	985
461	844	983
462	845	981
463	847	978
464	848	976
465	850	974
466	852	972
467	854	970
468	855	968
469	856	966
470	858	963
471	859	961
472	861	959
473	862	956
474	863	954
475	864	952
476	866	950
477	868	948
478	870	946
479	871	944
480	872	941
481	874	939
482	875	937
483	876	934
484	878	932
485	879	930
486	880	928
487	883	926
488	884	924
489	886	922
490	887	920
491	888	917
492	890	915
493	891	913
494	893	911
495	894	909
496	896	907
497	898	905
498	899	903
499	900	900
500	902	898
501	903	896
502	904	894
503	906	891
504	907	889
505	908	887
506	910	885
507	913	884
508	914	882
509	915	879
510	917	877
511	918	875
512	919	873
513	921	871
514	922	869
515	924	866
516	925	865
517	928	863
518	929	861
519	931	859
520	932	857
521	934	855
522	935	853
523	936	851
524	938	848
525	939	846
526	941	845
527	944	844
528	945	841
529	946	839
530	948	837
531	949	835
532	951	833
533	952	831
534	953	829
535	955	827
536	957	825
537	959	823
538	960	821
539	962	819
540	963	817
541	965	815
542	966	813
543	968	811
544	969	809
545	972	808
546	974	806
547	975	804
548	977	802
549	978	800
550	979	798
551	981	796
552	982	794
553	984	792
554	987	791
